lidar_date,name,product,illuminations,start,md5sum,download_link,time_range
2010-01-28 17:35:45,MYD021KM.A2010028.0725.061.2018058034421.hdf,MYD021KM,D,2010-01-28 07:25:00,aa3b21420365d2fd5d4c32fa7a86c2a3,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010028.0725.061.2018058034421.hdf,3:10:45
2010-01-28 17:35:45,MOD021KM.A2010028.0710.061.2017253140137.hdf,MOD021KM,D,2010-01-28 07:10:00,c84409286c732fc20616b7a063987ee6,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010028.0710.061.2017253140137.hdf,3:25:45
2010-01-28 17:51:18,MYD021KM.A2010028.0725.061.2018058034421.hdf,MYD021KM,D,2010-01-28 07:25:00,aa3b21420365d2fd5d4c32fa7a86c2a3,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010028.0725.061.2018058034421.hdf,3:26:18
2010-01-28 17:51:18,MOD021KM.A2010028.0710.061.2017253140137.hdf,MOD021KM,D,2010-01-28 07:10:00,c84409286c732fc20616b7a063987ee6,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010028.0710.061.2017253140137.hdf,3:41:18
2010-01-28 18:06:33,MYD021KM.A2010028.0725.061.2018058034421.hdf,MYD021KM,D,2010-01-28 07:25:00,aa3b21420365d2fd5d4c32fa7a86c2a3,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010028.0725.061.2018058034421.hdf,3:41:33
2010-01-28 18:06:33,MOD021KM.A2010028.0710.061.2017253140137.hdf,MOD021KM,D,2010-01-28 07:10:00,c84409286c732fc20616b7a063987ee6,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010028.0710.061.2017253140137.hdf,3:56:33
2010-01-28 18:21:46,MYD021KM.A2010028.0725.061.2018058034421.hdf,MYD021KM,D,2010-01-28 07:25:00,aa3b21420365d2fd5d4c32fa7a86c2a3,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010028.0725.061.2018058034421.hdf,3:56:46
2010-01-28 18:21:46,MOD021KM.A2010028.1505.061.2017253135553.hdf,MOD021KM,N,2010-01-28 15:05:00,50cf20aa8fd79212f33aa1fc71fe171c,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010028.1505.061.2017253135553.hdf,3:43:14
2010-02-01 17:22:28,MYD021KM.A2010032.0700.061.2018058071201.hdf,MYD021KM,D,2010-02-01 07:00:00,331688a6296aa79d07f9f7916c013560,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010032.0700.061.2018058071201.hdf,3:22:28
2010-02-01 17:22:28,MOD021KM.A2010032.0645.061.2017254163444.hdf,MOD021KM,D,2010-02-01 06:45:00,a3c7f56c7fbb64e6bc76bbdb4a0f4bce,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010032.0645.061.2017254163444.hdf,3:37:28
2010-02-01 18:19:57,MYD021KM.A2010032.0700.061.2018058071201.hdf,MYD021KM,D,2010-02-01 07:00:00,331688a6296aa79d07f9f7916c013560,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010032.0700.061.2018058071201.hdf,4:19:57
2010-02-01 18:19:57,MOD021KM.A2010032.1445.061.2017254162652.hdf,MOD021KM,N,2010-02-01 14:45:00,86d626040f2d8e423d903f5c61af6c6a,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010032.1445.061.2017254162652.hdf,3:25:03
2010-02-01 18:35:20,MYD021KM.A2010032.0700.061.2018058071201.hdf,MYD021KM,D,2010-02-01 07:00:00,331688a6296aa79d07f9f7916c013560,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010032.0700.061.2018058071201.hdf,4:35:20
2010-02-01 18:35:20,MOD021KM.A2010032.1445.061.2017254162652.hdf,MOD021KM,N,2010-02-01 14:45:00,86d626040f2d8e423d903f5c61af6c6a,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010032.1445.061.2017254162652.hdf,3:09:40
2010-02-01 18:50:23,MYD021KM.A2010032.0700.061.2018058071201.hdf,MYD021KM,D,2010-02-01 07:00:00,331688a6296aa79d07f9f7916c013560,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010032.0700.061.2018058071201.hdf,4:50:23
2010-02-01 18:50:23,MOD021KM.A2010032.1445.061.2017254162652.hdf,MOD021KM,N,2010-02-01 14:45:00,86d626040f2d8e423d903f5c61af6c6a,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010032.1445.061.2017254162652.hdf,2:54:37
2010-02-08 17:50:33,MYD021KM.A2010039.0705.061.2018058072811.hdf,MYD021KM,D,2010-02-08 07:05:00,a22d518073725f2e347a9bf1a88bf32d,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010039.0705.061.2018058072811.hdf,3:45:33
2010-02-08 17:50:33,MOD021KM.A2010039.1450.061.2017254153401.hdf,MOD021KM,N,2010-02-08 14:50:00,2575ca0b4b13caa920c91971eb998d73,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010039.1450.061.2017254153401.hdf,3:59:27
